;0;1
40;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-sense-manual-1624647;['2022', '2022', 'Branco', 'Hyundai', '4']
41;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-sense-manual-1624692;['2022', '2022', 'Preto', 'Hyundai', '4']
42;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-vision-manual-1625901;['2022', '2022', 'Cinza', 'Hyundai', '4']
43;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-outsider-manual-1633560;['2022', '2022', 'Vermelho', 'Renault', '4']
44;https://www.comprecar.com.br/carros-usados/sorocaba/oroch-20-dyn42at-1643327;['2016', '2017', 'Cinza', 'Renault', '4']
45;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-comfort-plus-12v-turbo-1665585;['2017', '2017', 'Preto', 'Hyundai', '4']
46;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-1633562;['2022', '2022', 'Branco', 'Renault', '4']
47;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-1633563;['2022', '2022', 'Bronze', 'Renault', '4']
48;https://www.comprecar.com.br/carros-usados/sorocaba/nivus-10-200-tsi-total-flex-highline-automatico-1634819;['2022', '2022', 'Branco', 'Volkswagen', '0']
49;https://www.comprecar.com.br/carros-usados/sorocaba/onix-10-turbo-flex-plus-lt-automatico-1646427;['2021', '2022', 'Branco', 'CHEVROLET', '4']
50;https://www.comprecar.com.br/carros-usados/sorocaba/argo-10-firefly-flex-drive-manual-1654576;['2022', '2022', 'Vermelho', 'Fiat', '4']
51;https://www.comprecar.com.br/carros-usados/sorocaba/onix-10-turbo-flex-premier-automatico-1663041;['2022', '2022', 'Branco', 'CHEVROLET', '4']
52;https://www.comprecar.com.br/carros-usados/sorocaba/toro-18-16v-evo-flex-endurance-at6-1663309;['2022', '2022', 'Branco', 'Fiat', '2']
53;https://www.comprecar.com.br/carros-usados/sorocaba/polo-10-200-tsi-highline-automatico-1664242;['2022', '2022', 'Preto', 'Volkswagen', '0']
